"RF_ME";"RF_ECO";"ME_ECO"
"152";0.854597754192044;-0.391009281527539;-0.289364952167726
"400";0.852982557041641;0.587627050779708;0.548021854830794
"401";0.853178784739965;0.175227485301169;0.141623526776173
"403";0.766808740396284;0.319791894672859;0.311316748689764
"404";0.762854996080398;0.0405536152340156;-0.00532315550504998
"406";0.733770412122519;0.103654457994122;0.153446410801336
"407";0.872609143215672;-0.383886621186896;-0.313716576972258
"408";0.754104687954622;0.38884012370942;0.313406312323653
"410";0.762963928556909;-0.611860205672759;-0.424090659993618
"411";0.779837200809694;0.113088396880073;0.109120133515274
"412";0.826852319250378;-0.0128316460949736;-0.0330703936784116
"413";0.817216459863034;-0.368341037228484;-0.27252356494246
"415";0.729285867933424;0.32835710005681;0.18038278095818
"417";0.759235833955947;-0.0565915533878243;0.0395869836168728
"418";0.81899842142653;0.458536954848844;0.345265288148472
"420";0.804491925832692;-0.0243574430638905;-0.0346060359424861
"421";0.782398160268444;0.190909890516947;0.201091932931859
"422";0.818177737869081;0.313736788405289;0.303558114639666
"423";0.795316921591858;NA;NA
"424";0.942240599613094;-0.00824864910998605;0.0307524949233797
"429";0.733267397815971;-0.0376199540513846;0.0478678326156105
"430";0.710937107265059;0.325235984699439;0.23314356990081
"511";0.815567678166471;NA;NA
"512";0.720235014184275;0.293326597798613;0.299380273347636
"513";0.791821152955728;0.496971868431352;0.385361028042949
"514";0.791929078706972;0.511292651841566;0.420711223420502
"515";0.863321132569565;0.0357181948120964;0.0691572586826322
"516";0.677676093832588;0.283822503361971;0.251934639601389
"518";0.775333609550807;0.390885680094763;0.363747119986198
"519";0.507111115600896;-0.0885080365022301;-0.0595817599907567
"520";0.928276049889295;0.262494903158951;0.288477161178721
"522";0.858931207763362;-0.256009701279068;-0.162854929544818
"524";0.851653924180611;0.571011998697708;0.525526570037898
"527";0.600982683905308;-0.447861646690098;-0.166979728335806
"528";0.92180698344326;-0.00526801105971466;0.0536331146268126
"529";0.890120314794464;NA;NA
"530";0.816725554515624;NA;NA
"540";0.674727550604761;0.472931561973844;0.340233103501226
"541";0.576812273745442;0.408049822403584;0.355589429473606
